dateTime,last,lastDateTime,volBid,volAsk,bid,ask,vol
1356883320000,1.32141,0,0,0,0,0,0
1356883380000,1.32149,0,0,0,0,0,0
1356883440000,1.32159,0,0,0,0,0,0
1356883500000,1.32154,0,0,0,0,0,0
1356883560000,1.32150,0,0,0,0,0,0
1356883620000,1.32138,0,0,0,0,0,0
1356883680000,1.32148,0,0,0,0,0,0
1356883740000,1.32138,0,0,0,0,0,0
1356883800000,1.32144,0,0,0,0,0,0
1356883860000,1.32168,0,0,0,0,0,0
1356883920000,1.32168,0,0,0,0,0,0
1356883980000,1.32166,0,0,0,0,0,0
1356884040000,1.32190,0,0,0,0,0,0
1356884100000,1.32181,0,0,0,0,0,0
1356884160000,1.32179,0,0,0,0,0,0
1356884220000,1.32179,0,0,0,0,0,0
1356884280000,1.32178,0,0,0,0,0,0
1356884340000,1.32147,0,0,0,0,0,0
1356884400000,1.32143,0,0,0,0,0,0
1356884460000,1.32143,0,0,0,0,0,0
1356884520000,1.32141,0,0,0,0,0,0
1356884580000,1.32141,0,0,0,0,0,0
1356884640000,1.32144,0,0,0,0,0,0
1356884700000,1.32145,0,0,0,0,0,0
1356884760000,1.32145,0,0,0,0,0,0
1356884820000,1.32142,0,0,0,0,0,0
1356884880000,1.32142,0,0,0,0,0,0
1356884940000,1.32144,0,0,0,0,0,0
1356885000000,1.32142,0,0,0,0,0,0
1356885060000,1.32137,0,0,0,0,0,0
1356885120000,1.32145,0,0,0,0,0,0
1356885180000,1.32150,0,0,0,0,0,0
1356885240000,1.32148,0,0,0,0,0,0
1356885300000,1.32155,0,0,0,0,0,0
1356885360000,1.32158,0,0,0,0,0,0
1356885420000,1.32142,0,0,0,0,0,0
1356885480000,1.32140,0,0,0,0,0,0
1356885540000,1.32143,0,0,0,0,0,0
1356885600000,1.32140,0,0,0,0,0,0
1356885660000,1.32156,0,0,0,0,0,0
1356885720000,1.32164,0,0,0,0,0,0
1356885780000,1.32151,0,0,0,0,0,0
1356885840000,1.32140,0,0,0,0,0,0
1356885900000,1.32141,0,0,0,0,0,0
1356885960000,1.32141,0,0,0,0,0,0
1356886020000,1.32141,0,0,0,0,0,0
1356886080000,1.32143,0,0,0,0,0,0
1356886140000,1.32141,0,0,0,0,0,0
1356886200000,1.32141,0,0,0,0,0,0
1356886260000,1.32138,0,0,0,0,0,0
1356886320000,1.32140,0,0,0,0,0,0
1356886380000,1.32139,0,0,0,0,0,0
1356886440000,1.32140,0,0,0,0,0,0
1356886500000,1.32142,0,0,0,0,0,0
1356886560000,1.32140,0,0,0,0,0,0
1356886620000,1.32138,0,0,0,0,0,0
1356886680000,1.32135,0,0,0,0,0,0
1356886740000,1.32137,0,0,0,0,0,0
1356886800000,1.32144,0,0,0,0,0,0
1356886860000,1.32155,0,0,0,0,0,0
1356886920000,1.32215,0,0,0,0,0,0
1356886980000,1.32233,0,0,0,0,0,0
1356887040000,1.32246,0,0,0,0,0,0
1356887100000,1.32233,0,0,0,0,0,0
1356887160000,1.32218,0,0,0,0,0,0
1356887220000,1.32222,0,0,0,0,0,0
1356887280000,1.32224,0,0,0,0,0,0
1356887340000,1.32222,0,0,0,0,0,0
1356887400000,1.32223,0,0,0,0,0,0
1356887460000,1.32236,0,0,0,0,0,0
1356887520000,1.32234,0,0,0,0,0,0
1356887580000,1.32235,0,0,0,0,0,0
1356887640000,1.32232,0,0,0,0,0,0
1356887700000,1.32237,0,0,0,0,0,0
1356887760000,1.32239,0,0,0,0,0,0
1356887820000,1.32238,0,0,0,0,0,0
1356887880000,1.32234,0,0,0,0,0,0
1356887940000,1.32235,0,0,0,0,0,0
1356888060000,1.32234,0,0,0,0,0,0
1356888120000,1.32232,0,0,0,0,0,0
1356888180000,1.32232,0,0,0,0,0,0
1356888240000,1.32231,0,0,0,0,0,0
1356888300000,1.32231,0,0,0,0,0,0
1356888360000,1.32253,0,0,0,0,0,0
1356888420000,1.32256,0,0,0,0,0,0
1356888480000,1.32258,0,0,0,0,0,0
1356888540000,1.32307,0,0,0,0,0,0
1356888600000,1.32295,0,0,0,0,0,0
1356888660000,1.32278,0,0,0,0,0,0
1356888720000,1.32316,0,0,0,0,0,0
1356888780000,1.32311,0,0,0,0,0,0
1356888840000,1.32303,0,0,0,0,0,0
1356888900000,1.32279,0,0,0,0,0,0
1356888960000,1.32278,0,0,0,0,0,0
1356889020000,1.32278,0,0,0,0,0,0
1356889080000,1.32272,0,0,0,0,0,0
1356889140000,1.32272,0,0,0,0,0,0
1356889200000,1.32270,0,0,0,0,0,0
1356889260000,1.32259,0,0,0,0,0,0
1356889320000,1.32264,0,0,0,0,0,0
1356889380000,1.32263,0,0,0,0,0,0
1356889440000,1.32260,0,0,0,0,0,0
1356889500000,1.32259,0,0,0,0,0,0
1356889560000,1.32266,0,0,0,0,0,0
1356889620000,1.32267,0,0,0,0,0,0
1356889740000,1.32266,0,0,0,0,0,0
1356889800000,1.32277,0,0,0,0,0,0
1356889860000,1.32276,0,0,0,0,0,0
1356889920000,1.32275,0,0,0,0,0,0
1356889980000,1.32267,0,0,0,0,0,0
1356890040000,1.32265,0,0,0,0,0,0
1356890100000,1.32255,0,0,0,0,0,0
1356890160000,1.32253,0,0,0,0,0,0
1356890220000,1.32250,0,0,0,0,0,0
1356890280000,1.32255,0,0,0,0,0,0
1356890340000,1.32256,0,0,0,0,0,0
1356890400000,1.32257,0,0,0,0,0,0
1356890460000,1.32257,0,0,0,0,0,0
1356890520000,1.32299,0,0,0,0,0,0
1356890580000,1.32295,0,0,0,0,0,0
1356890760000,1.32300,0,0,0,0,0,0
1356890820000,1.32298,0,0,0,0,0,0
1356890880000,1.32285,0,0,0,0,0,0
1356890940000,1.32268,0,0,0,0,0,0
1356891000000,1.32274,0,0,0,0,0,0
1356891120000,1.32265,0,0,0,0,0,0
1356891240000,1.32265,0,0,0,0,0,0
1356891300000,1.32265,0,0,0,0,0,0
1356891360000,1.32265,0,0,0,0,0,0
1356891420000,1.32275,0,0,0,0,0,0
